Sci_name,Sp_name,Production_2009,Dom_level,Notes
Diplodus sargus,White seabream,105,3,
Diplodus vulgaris,Common two-banded seabream,0 -,3,
Dormitator latifrons,Pacific fat sleeper,1 000,3,
Epinephelus akaara,Hong Kong grouper,0 -,3,
Epinephelus tauvina,Greasy grouper,4 167,3,
Evynnis japonica,Crimson seabream,0 .,3,
Hepsetus odoe,Kafue pike,1 349,3,
Heterobranchus longifilis,Sampa,0 .,3,
Heteropneustes fossilis,Stinging catfish,2 790,3,
Lates niloticus,Nile perch,9 992,3,
Leiocassis longirostris,Chinese longsnout catfish,17 900,3,
Lepomis macrochirus,Bluegill,125,3,
Liza vaigiensis,Squaretail mullet,0 .,3,
Lutjanus argentimaculatus,Mangrove red snapper,4 819,3,
Lutjanus russelli,Russell's snapper,14,3,
Maccullochella peelii,Murray cod,0 .,3,
Melanogrammus aeglefinus,Haddock,0 -,3,
Morone chrysops x M. saxatilis,"Striped bass, hybrid",4 235,3,
Morone saxatilis,Striped bass,0 .,3,
Mystus nemurus,Asian redtail catfish,2 223,3,
Oreochromis spilurus,Sabaki tilapia,104,3,
Osphronemus goramy,Giant gourami,51 344,3,
Osteochilus hasselti,Nile carp [Nilem carp],13 821,3,
P.mesopotamicus x C.macropomum,"Tamabacu, Hybrid",18 492,3,
Pagellus bogaraveo,Blackspot(=red) seabream,183,3,
Pagellus erythrinus,Common pandora,42,3,
Pangasius pangasius,Pangas catfish,18 810,3,
Papyrocranus afer,Reticulate knifefish,7 204,3,
Perca flavescens,American yellow perch,50 F,3,
Pollachius pollachius,Pollack,0,3,
Pomoxis annularis,White crappie,86,3,
Pseudocaranx dentex,White trevally,2 522,3,
Rhabdosargus sarba,Goldlined seabream,12,3,
Rhamdia sapo,South American catfish,1 089,3,
Rutilus rutilus,Roach,1 920,3,
Sciaena umbra,Brown meagre,0 -,3,
Seriola dumerili,Greater amberjack,4,3,
Silurus asotus,Amur catfish,329 972,3,
Solea senegalensis,Senegalense sole,63,3,
Solea solea,Common sole,30,3,
Sparidentex hasta,Sobaity seabream,0 -,3,
Thunnus orientalis,Pacific bluefin tuna,2 987,3,
Thymallus thymallus,Grayling,0 -,3,
Trachurus japonicus,Japanese jack mackerel,1 690,3,
Trichogaster pectoralis,Snakeskin gourami,38 334,3,
Umbrina cirrosa,Shi drum,0 .,3,
Acanthopagrus latus,Yellowfin seabream,0 -,4,
Acanthopagrus schlegeli,Blackhead seabream,2 008,4,
Acipenser transmontanus,White sturgeon,0 .,4,
Anarhichas minor,Spotted wolffish,0 -,4,
Argyrosomus regius,Meagre,4 112 F,4,
Catla catla,Catla,2 418 821,4,
Channa argus,Snakehead,358 761,4,
Chanos chanos,Milkfish,717 728,4,
Chrysichthys nigrodigitatus,Bagrid catfish,20 F,4,
Cirrhinus molitorella,Mud carp,3 100,4,
Cirrhinus mrigala,Mrigal carp,474 796,4,
Clarias gariepinus,North African catfish,85 593,4,
Colossoma macropomum,Cachama,60 244,4,
Diplodus puntazzo,Sharpsnout seabream,51,4,
Esox lucius,Northern pike,694,4,
Gasterosteus aculeatus,Three-spined stickleback,40,4,
Helostoma temminckii,Kissing gourami,3 613,4,
Hippoglossus hippoglossus,Atlantic halibut,1 806,4,
Hucho hucho,Huchen,19,4,
Larimichthys croceus,Large yellow croaker,66 021,4,
Lateolabrax japonicus,Japanese seabass,104 366,4,
Lates calcarifer,Barramundi(=Giant seaperch),49 299,4,
Mugil cephalus,Flathead grey mullet,221 978 F,4,
Mylopharyngodon piceus,Black carp,387 992,4,
Oncorhynchus keta,Chum(=Keta=Dog) salmon,0 -,4,
Oreochromis (=Tilapia) spp,Tilapias nei,509 797,4,
Oreochromis andersonii,Three spotted tilapia,3 090,4,
Oreochromis aureus,Blue tilapia,5 657,4,
Oreochromis macrochir,Longfin tilapia,1 174,4,
Oreochromis mossambicus,Mozambique tilapia,33 169,4,
Pagrus auratus (= major),Silver seabream,80 185,4,
Pagrus pagrus,Red porgy,0 .,4,
Pangasius hypophthalmus,Striped catfish,81 777,4,
Pangasius spp,Pangas catfishes nei,1 193 023,4,
Perca fluviatilis,European perch,266,4,
Piaractus brachypomus,Pirapatinga,103 855,4,
Piaractus mesopotamicus,Pacu,18 796,4,
Rachycentron canadum,Cobia,31 926,4,
Salvelinus fontinalis,Brook trout,715,4,
Sander lucioperca,Pike-perch,653,4,
