sciname,sp_name,group ,ISSCAAP_Group,M_dscrt_late,M_dsrt_early,Binary
Artemia salina,Brine shrimp,CRUSTACEA,Miscellaneous marine crustaceans,0.68,0.88,Capture-based
Penaeus esculentus,Brown tiger prawn,CRUSTACEA,"Shrimps, prawns",0.41,0.61,Capture-based
Penaeus kerathurus,Caramote prawn,CRUSTACEA,"Shrimps, prawns",0.62,0.82,Capture-based
Panulirus argus,Caribbean spiny lobster,CRUSTACEA,"Lobsters, spiny-rock lobsters",0.69,0.89,Capture-based
Penaeus plebejus,Eastern king prawn,CRUSTACEA,"Shrimps, prawns",0.80,1.00,Capture-based
Thenus orientalis,Flathead lobster,CRUSTACEA,"Lobsters, spiny-rock lobsters",0.34,0.54,Capture-based
Penaeus chinensis,Fleshy prawn,CRUSTACEA,"Shrimps, prawns",0.78,0.98,Domesticated
Portunus trituberculatus,Gazami crab,CRUSTACEA,"Crabs, sea-spiders",0.73,0.93,Capture-based
Penaeus monodon,Giant tiger prawn,CRUSTACEA,"Shrimps, prawns",0.65,0.85,Domesticated
Carcinus maenas,Green crab,CRUSTACEA,"Crabs, sea-spiders",0.62,0.82,Capture-based
Penaeus indicus,Indian white prawn,CRUSTACEA,"Shrimps, prawns",0.68,0.88,Domesticated
Scylla serrata,Indo-Pacific swamp crab,CRUSTACEA,"Crabs, sea-spiders",0.68,0.88,Domesticated
Panulirus japonicus,Japanese spiny lobster,CRUSTACEA,"Lobsters, spiny-rock lobsters",0.69,0.89,Capture-based
Penaeus japonicus,Kuruma prawn,CRUSTACEA,"Shrimps, prawns",0.64,0.84,Domesticated
Panulirus polyphagus,Mud spiny lobster,CRUSTACEA,"Lobsters, spiny-rock lobsters",0.66,0.86,Capture-based
Penaeus setiferus,Northern white shrimp,CRUSTACEA,"Shrimps, prawns",0.26,0.46,Capture-based
Scylla olivacea,Orange mud crab,CRUSTACEA,"Crabs, sea-spiders",0.74,0.94,Capture-based
Maja squinado,Spinous spider crab,CRUSTACEA,"Crabs, sea-spiders",0.62,0.82,Capture-based
Penaeus vannamei,Whiteleg shrimp,CRUSTACEA,"Shrimps, prawns",0.71,0.91,Domesticated
Crassostrea virginica,American cupped oyster,MOLLUSCA,Oysters,0.32,0.52,Domesticated
Mytilus planulatus,Australian mussel,MOLLUSCA,Mussels,0.60,0.80,Capture-based
Venerupis rhomboides,Banded carpet shell,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Hippopus hippopus,Bear paw clam,MOLLUSCA,"Clams, cockles, arkshells",0.29,0.49,Capture-based
Anadara tuberculosa,Black ark,MOLLUSCA,"Clams, cockles, arkshells",0.65,0.85,Capture-based
Anadara granosa,Blood cockle,MOLLUSCA,"Clams, cockles, arkshells",0.75,0.95,Domesticated
Mytilus edulis,Blue mussel,MOLLUSCA,Mussels,0.23,0.43,Capture-based
Saxidomus giganteus,Butter clam,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Ostrea chilensis,Chilean flat oyster,MOLLUSCA,Oysters,0.67,0.87,Capture-based
Mytilus chilensis,Chilean mussel,MOLLUSCA,Mussels,0.68,0.88,Capture-based
Aulacomya ater,Cholga mussel,MOLLUSCA,Mussels,0.60,0.80,Capture-based
Choromytilus chorus,Choro mussel,MOLLUSCA,Mussels,0.60,0.80,Capture-based
Sepia officinalis,Common cuttlefish,MOLLUSCA,"Squids, cuttlefishes, octopuses",0.73,0.93,Capture-based
Cerastoderma edule,Common edible cockle,MOLLUSCA,"Clams, cockles, arkshells",0.61,0.81,Domesticated
Sinonovacula constricta,Constricted tagelus,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Domesticated
Soletellina diphos,Diphos sanguin,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Donax spp,Donax clams,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Ostrea edulis,European flat oyster,MOLLUSCA,Oysters,0.67,0.87,Domesticated
Concholepas concholepas,False abalone,MOLLUSCA,"Abalones, winkles, conchs",0.18,0.38,Domesticated
Crassostrea gasar,Gasar cupped oyster,MOLLUSCA,Oysters,0.77,0.97,Capture-based
Mactra veneriformis,Globose clam,MOLLUSCA,"Clams, cockles, arkshells",0.07,0.27,Capture-based
Venerupis aurea,Golden carpet shell,MOLLUSCA,"Clams, cockles, arkshells",0.67,0.87,Capture-based
Anadara grandis,Grand ark,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Pecten maximus,Great Atlantic scallop,MOLLUSCA,"Scallops, pectens",0.65,0.85,Capture-based
Pecten jacobaeus,Great Mediterranean scallop,MOLLUSCA,"Scallops, pectens",0.37,0.57,Capture-based
Perna viridis,Green mussel,MOLLUSCA,Mussels,0.65,0.85,Capture-based
Ruditapes decussatus,Grooved carpet shell,MOLLUSCA,"Clams, cockles, arkshells",0.78,0.98,Domesticated
Saccostrea cuccullata,Hooded oyster,MOLLUSCA,Oysters,0.67,0.87,Capture-based
Turbo cornutus,Horned turban,MOLLUSCA,"Abalones, winkles, conchs",0.45,0.65,Capture-based
Crassostrea madrasensis,Indian backwater oyster,MOLLUSCA,Oysters,0.75,0.95,Domesticated
Scapharca broughtonii,Inflated ark,MOLLUSCA,"Clams, cockles, arkshells",0.51,0.71,Domesticated
Haliotis discus,Japanese abalone,MOLLUSCA,"Abalones, winkles, conchs",0.62,0.82,Domesticated
Ruditapes philippinarum,Japanese carpet shell,MOLLUSCA,"Clams, cockles, arkshells",0.63,0.83,Domesticated
Meretrix lusoria,Japanese hard clam,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Domesticated
Mytilus coruscus,Korean mussel,MOLLUSCA,Mussels,0.46,0.66,Capture-based
Crassostrea rhizophorae,Mangrove cupped oyster,MOLLUSCA,Oysters,0.78,0.98,Capture-based
Mytilus galloprovincialis,Mediterranean mussel,MOLLUSCA,Mussels,0.68,0.88,Capture-based
Perna canaliculus,New Zealand mussel,MOLLUSCA,Mussels,0.69,0.89,Capture-based
Mercenaria mercenaria,Northern quahog(=Hard clam),MOLLUSCA,"Clams, cockles, arkshells",0.48,0.68,Domesticated
