,ID,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
173,"Melanogrammus aeglefinus_United States of America_Atlantic, Northwest",Haddock,Melanogrammus aeglefinus,finfish,"Cods, hakes, haddocks",United States of America,"Atlantic, Northwest",2507.5,2194.1,2925.4,3510.5,3510.5,3510.5,1003,585.1,1316.4,0.5,0.3,5015,0,1,0.2
174,"Miichthys miiuy_China_Pacific, Northwest",Mi-iuy (brown) croaker,Miichthys miiuy,finfish,Miscellaneous coastal fishes,China,"Pacific, Northwest",19044.8,16664.2,22218.9,39209.94,39209.94,39209.94,20165.14,16991.04,22545.74,0.66,0.46,72611,0,1,0.28
175,"Miichthys miiuy_Taiwan Province of China_Pacific, Northwest",Mi-iuy (brown) croaker,Miichthys miiuy,finfish,Miscellaneous coastal fishes,Taiwan Province of China,"Pacific, Northwest",47.5,41.5,55.4,97.74,97.74,97.74,50.24,42.34,56.24,0.66,0.46,181,0,1,0.28
176,"Muraenesox cinereus_China_Pacific, Northwest",Daggertooth pike conger,Muraenesox cinereus,finfish,Miscellaneous demersal fishes,China,"Pacific, Northwest",208343.4,182300.5,243067.3,280462.32,280462.32,280462.32,72118.92,37395.02,98161.82,0.48,0.28,389531,0,1,0.19
177,"Muraenesox cinereus_Korea, Republic of_Pacific, Northwest",Daggertooth pike conger,Muraenesox cinereus,finfish,Miscellaneous demersal fishes,"Korea, Republic of","Pacific, Northwest",737.1,644.9,859.9,992.16,992.16,992.16,255.06,132.26,347.26,0.48,0.28,1378,0,1,0.19
178,"Muraenesox cinereus_Malaysia_Indian Ocean, Eastern",Daggertooth pike conger,Muraenesox cinereus,finfish,Miscellaneous demersal fishes,Malaysia,"Indian Ocean, Eastern",1097,959.9,1279.8,1476.72,1476.72,1476.72,379.72,196.92,516.82,0.48,0.28,2051,0,1,0.19
179,"Muraenesox cinereus_Malaysia_Pacific, Western Central",Daggertooth pike conger,Muraenesox cinereus,finfish,Miscellaneous demersal fishes,Malaysia,"Pacific, Western Central",2383.3,2085.4,2780.6,3208.32,3208.32,3208.32,825.02,427.72,1122.92,0.48,0.28,4456,0,1,0.19
180,"Muraenesox cinereus_Taiwan Province of China_Pacific, Northwest",Daggertooth pike conger,Muraenesox cinereus,finfish,Miscellaneous demersal fishes,Taiwan Province of China,"Pacific, Northwest",201.7,176.4,235.2,271.44,271.44,271.44,69.74,36.24,95.04,0.48,0.28,377,0,1,0.18
181,"Muraenesox cinereus_Thailand_Indian Ocean, Eastern",Daggertooth pike conger,Muraenesox cinereus,finfish,Miscellaneous demersal fishes,Thailand,"Indian Ocean, Eastern",227.9,199.4,265.8,306.72,306.72,306.72,78.82,40.92,107.32,0.48,0.28,426,0,1,0.19
182,"Muraenesox cinereus_Thailand_Pacific, Western Central",Daggertooth pike conger,Muraenesox cinereus,finfish,Miscellaneous demersal fishes,Thailand,"Pacific, Western Central",933.8,817.1,1089.5,1257.12,1257.12,1257.12,323.32,167.62,440.02,0.48,0.28,1746,0,1,0.19
183,"Mycteroperca bonaci_Bermuda_Atlantic, Western Central",Black grouper,Mycteroperca bonaci,finfish,Miscellaneous coastal fishes,Bermuda,"Atlantic, Western Central",9.6,8.4,11.2,11.2,11.2,11.2,1.6,0,2.8,0.4,0.2,14,0,1,0.11
184,"Mycteroperca bonaci_United States of America_Atlantic, Western Central",Black grouper,Mycteroperca bonaci,finfish,Miscellaneous coastal fishes,United States of America,"Atlantic, Western Central",39,34.2,45.6,45.6,45.6,45.6,6.6,0,11.4,0.4,0.2,57,0,1,0.12
185,"Oncorhynchus masou_Japan_Pacific, Northwest",Masu(=Cherry) salmon,Oncorhynchus masou,finfish,"Salmons, trouts, smelts",Japan,"Pacific, Northwest",153.8,134.5,179.4,414,414,414,260.2,234.6,279.5,0.74,0.54,900,0,1,0.29
186,"Oncorhynchus masou_Russian Federation_Pacific, Northwest",Masu(=Cherry) salmon,Oncorhynchus masou,finfish,"Salmons, trouts, smelts",Russian Federation,"Pacific, Northwest",1.6,1.3,1.8,4.14,4.14,4.14,2.54,2.34,2.84,0.74,0.54,9,0,1,0.28
187,"Oncorhynchus nerka_Canada_Pacific, Northeast",Sockeye(=Red) salmon,Oncorhynchus nerka,finfish,"Salmons, trouts, smelts",Canada,"Pacific, Northeast",332.1,290.6,387.5,775,775,775,442.9,387.5,484.4,0.7,0.5,1550,0,1,0.29
188,"Oncorhynchus nerka_Japan_Pacific, Northwest",Sockeye(=Red) salmon,Oncorhynchus nerka,finfish,"Salmons, trouts, smelts",Japan,"Pacific, Northwest",482.1,421.9,562.5,1125,1125,1125,642.9,562.5,703.1,0.7,0.5,2250,0,1,0.29
189,"Oncorhynchus nerka_Russian Federation_Pacific, Northwest",Sockeye(=Red) salmon,Oncorhynchus nerka,finfish,"Salmons, trouts, smelts",Russian Federation,"Pacific, Northwest",10343.4,9050.5,12067.2,24134.5,24134.5,24134.5,13791.1,12067.3,15084,0.7,0.5,48269,0,1,0.29
190,"Oncorhynchus nerka_Russian Federation_Pacific, Northeast",Sockeye(=Red) salmon,Oncorhynchus nerka,finfish,"Salmons, trouts, smelts",Russian Federation,"Pacific, Northeast",0.6,0.6,0.8,1.5,1.5,1.5,0.9,0.7,0.9,0.7,0.5,3,0,1,0.3
