,ID,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
197,Pagellus erythrinus_France_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,France,Mediterranean and Black Sea,71,62.2,82.8,99.4,99.4,99.4,28.4,16.6,37.2,0.5,0.3,142,0,1,0.2
198,Pagellus erythrinus_Israel_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Israel,Mediterranean and Black Sea,43.5,38.1,50.8,60.9,60.9,60.9,17.4,10.1,22.8,0.5,0.3,87,0,1,0.2
199,Pagellus erythrinus_Italy_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Italy,Mediterranean and Black Sea,470.1,411.2,548.4,658,658,658,187.9,109.6,246.8,0.5,0.3,940,0,1,0.2
200,Pagellus erythrinus_Lebanon_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Lebanon,Mediterranean and Black Sea,58.5,51.2,68.2,81.9,81.9,81.9,23.4,13.7,30.7,0.5,0.3,117,0,1,0.2
201,Pagellus erythrinus_Libya_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Libya,Mediterranean and Black Sea,1950,1706.2,2275,2730,2730,2730,780,455,1023.8,0.5,0.3,3900,0,1,0.2
202,Pagellus erythrinus_Malta_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Malta,Mediterranean and Black Sea,8,7,9.3,11.2,11.2,11.2,3.2,1.9,4.2,0.5,0.3,16,0,1,0.2
203,"Pagellus erythrinus_Morocco_Atlantic, Eastern Central",Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Morocco,"Atlantic, Eastern Central",490.5,429.2,572.2,686.7,686.7,686.7,196.2,114.5,257.5,0.5,0.3,981,0,1,0.2
204,Pagellus erythrinus_Morocco_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Morocco,Mediterranean and Black Sea,165,144.3,192.5,231,231,231,66,38.5,86.7,0.5,0.3,330,0,1,0.2
205,"Pagellus erythrinus_Netherlands_Atlantic, Eastern Central",Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Netherlands,"Atlantic, Eastern Central",7,6.2,8.2,9.8,9.8,9.8,2.8,1.6,3.6,0.5,0.3,14,0,1,0.2
206,"Pagellus erythrinus_Portugal_Atlantic, Northeast",Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Portugal,"Atlantic, Northeast",42.5,37.2,49.6,59.5,59.5,59.5,17,9.9,22.3,0.5,0.3,85,0,1,0.2
207,Pagellus erythrinus_Slovenia_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Slovenia,Mediterranean and Black Sea,2.5,2.2,2.9,3.5,3.5,3.5,1,0.6,1.3,0.5,0.3,5,0,1,0.2
208,"Pagellus erythrinus_Spain_Atlantic, Northeast",Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Spain,"Atlantic, Northeast",136.5,119.4,159.2,191.1,191.1,191.1,54.6,31.9,71.7,0.5,0.3,273,0,1,0.2
209,"Pagellus erythrinus_Spain_Atlantic, Eastern Central",Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Spain,"Atlantic, Eastern Central",125,109.3,145.8,175,175,175,50,29.2,65.7,0.5,0.3,250,0,1,0.2
210,Pagellus erythrinus_Spain_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Spain,Mediterranean and Black Sea,486.5,425.7,567.6,681.1,681.1,681.1,194.6,113.5,255.4,0.5,0.3,973,0,1,0.2
211,Pagellus erythrinus_Tunisia_Mediterranean and Black Sea,Common pandora,Pagellus erythrinus,finfish,Miscellaneous coastal fishes,Tunisia,Mediterranean and Black Sea,2274,1989.8,2653,3183.6,3183.6,3183.6,909.6,530.6,1193.8,0.5,0.3,4548,0,1,0.2
212,Platichthys flesus_Albania_Mediterranean and Black Sea,European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Albania,Mediterranean and Black Sea,8.4,7.3,9.8,10.14,10.14,10.14,1.74,0.34,2.84,0.42,0.22,13,0,1,0.13
213,"Platichthys flesus_Belgium_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Belgium,"Atlantic, Northeast",140.9,123.3,164.3,170.04,170.04,170.04,29.14,5.74,46.74,0.42,0.22,218,0,1,0.13
214,"Platichthys flesus_Denmark_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Denmark,"Atlantic, Northeast",588.7,515.2,686.9,710.58,710.58,710.58,121.88,23.68,195.38,0.42,0.22,911,0,1,0.13
215,"Platichthys flesus_Estonia_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Estonia,"Atlantic, Northeast",129.9,113.6,151.6,156.78,156.78,156.78,26.88,5.18,43.18,0.42,0.22,201,0,1,0.13
216,"Platichthys flesus_Finland_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Finland,"Atlantic, Northeast",10.4,9,12.1,12.48,12.48,12.48,2.08,0.38,3.48,0.42,0.22,16,0,1,0.13
217,"Platichthys flesus_France_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",France,"Atlantic, Northeast",45.9,40.2,53.5,55.38,55.38,55.38,9.48,1.88,15.18,0.42,0.22,71,0,1,0.13
218,"Platichthys flesus_Germany_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Germany,"Atlantic, Northeast",987.6,864.1,1152.1,1191.84,1191.84,1191.84,204.24,39.74,327.74,0.42,0.22,1528,0,1,0.13
219,"Platichthys flesus_Greenland_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Greenland,"Atlantic, Northeast",1.3,1.1,1.5,1.56,1.56,1.56,0.26,0.06,0.46,0.42,0.22,2,0,1,0.13
220,"Platichthys flesus_Ireland_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Ireland,"Atlantic, Northeast",0.6,0.5,0.8,0.78,0.78,0.78,0.18,-0.02,0.28,0.42,0.22,1,0,1,0.18
221,Platichthys flesus_Italy_Mediterranean and Black Sea,European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Italy,Mediterranean and Black Sea,12.2,10.8,14.4,14.82,14.82,14.82,2.62,0.42,4.02,0.42,0.22,19,0,1,0.14
222,"Platichthys flesus_Latvia_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Latvia,"Atlantic, Northeast",1243.5,1088,1450.7,1500.72,1500.72,1500.72,257.22,50.02,412.72,0.42,0.22,1924,0,1,0.13
223,"Platichthys flesus_Lithuania_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Lithuania,"Atlantic, Northeast",195.9,171.4,228.5,236.34,236.34,236.34,40.44,7.84,64.94,0.42,0.22,303,0,1,0.13
224,"Platichthys flesus_Netherlands_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Netherlands,"Atlantic, Northeast",828.5,725,966.7,999.96,999.96,999.96,171.46,33.26,274.96,0.42,0.22,1282,0,1,0.13
225,"Platichthys flesus_Norway_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Norway,"Atlantic, Northeast",0.6,0.5,0.8,0.78,0.78,0.78,0.18,-0.02,0.28,0.42,0.22,1,0,1,0.18
226,"Platichthys flesus_Poland_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Poland,"Atlantic, Northeast",9733.1,8516.4,11355.2,11746.8,11746.8,11746.8,2013.7,391.6,3230.4,0.42,0.22,15060,0,1,0.13
227,"Platichthys flesus_Portugal_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Portugal,"Atlantic, Northeast",23.2,20.4,27.1,28.08,28.08,28.08,4.88,0.98,7.68,0.42,0.22,36,0,1,0.14
228,"Platichthys flesus_Russian Federation_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Russian Federation,"Atlantic, Northeast",733.5,641.9,855.8,885.3,885.3,885.3,151.8,29.5,243.4,0.42,0.22,1135,0,1,0.13
229,Platichthys flesus_Slovenia_Mediterranean and Black Sea,European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Slovenia,Mediterranean and Black Sea,2,1.7,2.3,2.34,2.34,2.34,0.34,0.04,0.64,0.42,0.22,3,0,1,0.11
230,"Platichthys flesus_Spain_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Spain,"Atlantic, Northeast",10.4,9,12.1,12.48,12.48,12.48,2.08,0.38,3.48,0.42,0.22,16,0,1,0.13
231,"Platichthys flesus_Sweden_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Sweden,"Atlantic, Northeast",75,65.6,87.4,90.48,90.48,90.48,15.48,3.08,24.88,0.42,0.22,116,0,1,0.13
232,Platichthys flesus_Turkey_Mediterranean and Black Sea,European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Turkey,Mediterranean and Black Sea,5.8,5.1,6.8,7.02,7.02,7.02,1.22,0.22,1.92,0.42,0.22,9,0,1,0.14
233,Platichthys flesus_Ukraine_Mediterranean and Black Sea,European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",Ukraine,Mediterranean and Black Sea,3.2,2.8,3.7,3.9,3.9,3.9,0.7,0.2,1.1,0.42,0.22,5,0,1,0.14
234,"Platichthys flesus_United Kingdom_Atlantic, Northeast",European flounder,Platichthys flesus,finfish,"Flounders, halibuts, soles",United Kingdom,"Atlantic, Northeast",74.3,65.1,86.7,89.7,89.7,89.7,15.4,3,24.6,0.42,0.22,115,0,1,0.13
235,"Pleurogrammus azonus_Japan_Pacific, Northwest",Okhotsk atka mackerel,Pleurogrammus azonus,finfish,Miscellaneous coastal fishes,Japan,"Pacific, Northwest",11245.3,9839.7,13119.6,13572,13572,13572,2326.7,452.4,3732.3,0.42,0.22,17400,0,1,0.13
236,"Pleurogrammus azonus_Korea, Dem. People's Rep_Pacific, Northwest",Okhotsk atka mackerel,Pleurogrammus azonus,finfish,Miscellaneous coastal fishes,"Korea, Dem. People's Rep","Pacific, Northwest",2003.5,1753,2337.4,2418,2418,2418,414.5,80.6,665,0.42,0.22,3100,0,1,0.13
237,"Pleurogrammus azonus_Korea, Republic of_Pacific, Northwest",Okhotsk atka mackerel,Pleurogrammus azonus,finfish,Miscellaneous coastal fishes,"Korea, Republic of","Pacific, Northwest",2266.5,1983.2,2644.3,2735.46,2735.46,2735.46,468.96,91.16,752.26,0.42,0.22,3507,0,1,0.13
238,"Pleurogrammus azonus_Russian Federation_Pacific, Northwest",Okhotsk atka mackerel,Pleurogrammus azonus,finfish,Miscellaneous coastal fishes,Russian Federation,"Pacific, Northwest",15118.6,13228.7,17638.3,18246.54,18246.54,18246.54,3127.94,608.24,5017.84,0.42,0.22,23393,0,1,0.13
239,"Pollachius pollachius_Belgium_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Belgium,"Atlantic, Northeast",28.3,24.8,33,42.21,42.21,42.21,13.91,9.21,17.41,0.53,0.33,63,0,1,0.22
240,"Pollachius pollachius_Channel Islands_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Channel Islands,"Atlantic, Northeast",25.7,22.4,29.9,38.19,38.19,38.19,12.49,8.29,15.79,0.53,0.33,57,0,1,0.22
241,"Pollachius pollachius_Denmark_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Denmark,"Atlantic, Northeast",125,109.4,145.9,186.26,186.26,186.26,61.26,40.36,76.86,0.53,0.33,278,0,1,0.22
242,"Pollachius pollachius_Faroe Islands_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Faroe Islands,"Atlantic, Northeast",9.4,8.2,11,14.07,14.07,14.07,4.67,3.07,5.87,0.53,0.33,21,0,1,0.22
243,"Pollachius pollachius_France_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",France,"Atlantic, Northeast",1135.9,993.9,1325.2,1691.75,1691.75,1691.75,555.85,366.55,697.85,0.53,0.33,2525,0,1,0.22
244,"Pollachius pollachius_Germany_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Germany,"Atlantic, Northeast",52.2,45.6,60.9,77.72,77.72,77.72,25.52,16.82,32.12,0.53,0.33,116,0,1,0.22
245,"Pollachius pollachius_Greenland_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Greenland,"Atlantic, Northeast",0.5,0.4,0.5,0.67,0.67,0.67,0.17,0.17,0.27,0.53,0.33,1,0,1,0.17
246,"Pollachius pollachius_Ireland_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Ireland,"Atlantic, Northeast",502.5,439.7,586.2,748.39,748.39,748.39,245.89,162.19,308.69,0.53,0.33,1117,0,1,0.22
247,"Pollachius pollachius_Isle of Man_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Isle of Man,"Atlantic, Northeast",0.9,0.8,1.1,1.34,1.34,1.34,0.44,0.24,0.54,0.53,0.33,2,0,1,0.22
248,"Pollachius pollachius_Netherlands_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Netherlands,"Atlantic, Northeast",1.3,1.2,1.5,2.01,2.01,2.01,0.71,0.51,0.81,0.53,0.33,3,0,1,0.24
249,"Pollachius pollachius_Norway_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Norway,"Atlantic, Northeast",875.9,766.4,1021.8,1304.49,1304.49,1304.49,428.59,282.69,538.09,0.53,0.33,1947,0,1,0.22
250,"Pollachius pollachius_Poland_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Poland,"Atlantic, Northeast",1.3,1.2,1.5,2.01,2.01,2.01,0.71,0.51,0.81,0.53,0.33,3,0,1,0.24
251,"Pollachius pollachius_Portugal_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Portugal,"Atlantic, Northeast",21.1,18.5,24.7,31.49,31.49,31.49,10.39,6.79,12.99,0.53,0.33,47,0,1,0.22
252,"Pollachius pollachius_Spain_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Spain,"Atlantic, Northeast",145.3,127.2,169.5,216.41,216.41,216.41,71.11,46.91,89.21,0.53,0.33,323,0,1,0.22
253,"Pollachius pollachius_Sweden_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",Sweden,"Atlantic, Northeast",37.8,33,44.1,56.28,56.28,56.28,18.48,12.18,23.28,0.53,0.33,84,0,1,0.22
254,"Pollachius pollachius_United Kingdom_Atlantic, Northeast",Pollack,Pollachius pollachius,finfish,"Cods, hakes, haddocks",United Kingdom,"Atlantic, Northeast",1045.5,914.8,1219.7,1557.08,1557.08,1557.08,511.58,337.38,642.28,0.53,0.33,2324,0,1,0.22
255,Seriola dumerili_Albania_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Albania,Mediterranean and Black Sea,2,1.8,2.4,3.92,3.92,3.92,1.92,1.52,2.12,0.64,0.44,7,0,1,0.27
256,Seriola dumerili_Algeria_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Algeria,Mediterranean and Black Sea,43.8,38.3,51.1,85.12,85.12,85.12,41.32,34.02,46.82,0.64,0.44,152,0,1,0.27
257,"Seriola dumerili_Bahrain_Indian Ocean, Western",Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Bahrain,"Indian Ocean, Western",23.6,20.7,27.6,45.92,45.92,45.92,22.32,18.32,25.22,0.64,0.44,82,0,1,0.27
258,"Seriola dumerili_Bermuda_Atlantic, Western Central",Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Bermuda,"Atlantic, Western Central",2,1.8,2.4,3.92,3.92,3.92,1.92,1.52,2.12,0.64,0.44,7,0,1,0.27
259,Seriola dumerili_Croatia_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Croatia,Mediterranean and Black Sea,8.9,7.8,10.4,17.36,17.36,17.36,8.46,6.96,9.56,0.64,0.44,31,0,1,0.27
260,Seriola dumerili_Cyprus_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Cyprus,Mediterranean and Black Sea,1.7,1.5,2,3.36,3.36,3.36,1.66,1.36,1.86,0.64,0.44,6,0,1,0.28
261,Seriola dumerili_France_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,France,Mediterranean and Black Sea,14.4,12.6,16.8,28,28,28,13.6,11.2,15.4,0.64,0.44,50,0,1,0.27
262,Seriola dumerili_Greece_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Greece,Mediterranean and Black Sea,134.8,117.9,157.2,262.08,262.08,262.08,127.28,104.88,144.18,0.64,0.44,468,0,1,0.27
263,Seriola dumerili_Israel_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Israel,Mediterranean and Black Sea,11.5,10.1,13.4,22.4,22.4,22.4,10.9,9,12.3,0.64,0.44,40,0,1,0.27
264,Seriola dumerili_Italy_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Italy,Mediterranean and Black Sea,231.3,202.4,269.8,449.68,449.68,449.68,218.38,179.88,247.28,0.64,0.44,803,0,1,0.27
265,Seriola dumerili_Lebanon_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Lebanon,Mediterranean and Black Sea,27.4,24,31.9,53.2,53.2,53.2,25.8,21.3,29.2,0.64,0.44,95,0,1,0.27
266,Seriola dumerili_Libya_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Libya,Mediterranean and Black Sea,138.3,121,161.3,268.8,268.8,268.8,130.5,107.5,147.8,0.64,0.44,480,0,1,0.27
267,Seriola dumerili_Malta_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Malta,Mediterranean and Black Sea,0.8,0.8,1,1.68,1.68,1.68,0.88,0.68,0.88,0.64,0.44,3,0,1,0.29
268,"Seriola dumerili_Portugal_Atlantic, Northeast",Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Portugal,"Atlantic, Northeast",13.9,12.2,16.3,26.72,26.62,26.82,12.82,10.52,14.42,0.64,0.44,47,1.47,1,0.27
269,"Seriola dumerili_Spain_Atlantic, Northeast",Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Spain,"Atlantic, Northeast",1.5,1.2,1.7,2.8,2.8,2.8,1.3,1.1,1.6,0.64,0.44,5,0,1,0.26
270,Seriola dumerili_Spain_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Spain,Mediterranean and Black Sea,66.2,58,77.3,128.8,128.8,128.8,62.6,51.5,70.8,0.64,0.44,230,0,1,0.27
271,Seriola dumerili_Syrian Arab Republic_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Syrian Arab Republic,Mediterranean and Black Sea,7.2,6.3,8.4,14,14,14,6.8,5.6,7.7,0.64,0.44,25,0,1,0.27
272,"Seriola dumerili_Taiwan Province of China_Pacific, Northwest",Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Taiwan Province of China,"Pacific, Northwest",189.2,165.5,220.8,367.92,367.92,367.92,178.72,147.12,202.42,0.64,0.44,657,0,1,0.27
273,Seriola dumerili_Tunisia_Mediterranean and Black Sea,Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,Tunisia,Mediterranean and Black Sea,45.2,39.5,52.8,87.92,87.92,87.92,42.72,35.12,48.42,0.64,0.44,157,0,1,0.27
274,"Seriola dumerili_United States of America_Atlantic, Northwest",Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,United States of America,"Atlantic, Northwest",3.5,3,4,6.72,6.72,6.72,3.22,2.72,3.72,0.64,0.44,12,0,1,0.27
275,"Seriola dumerili_United States of America_Atlantic, Western Central",Greater amberjack,Seriola dumerili,finfish,Miscellaneous pelagic fishes,United States of America,"Atlantic, Western Central",159.8,139.9,186.5,310.8,310.8,310.8,151,124.3,170.9,0.64,0.44,555,0,1,0.27
276,"Seriola lalandi_Angola_Atlantic, Southeast",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,Angola,"Atlantic, Southeast",198.6,173.8,231.7,421.35,421.35,421.35,222.75,189.65,247.55,0.67,0.47,795,0,1,0.28
277,"Seriola lalandi_Argentina_Atlantic, Southwest",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,Argentina,"Atlantic, Southwest",1.2,1.1,1.4,2.65,2.65,2.65,1.45,1.25,1.55,0.67,0.47,5,0,1,0.29
278,"Seriola lalandi_Australia_Indian Ocean, Eastern",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,Australia,"Indian Ocean, Eastern",2,1.7,2.3,4.24,4.24,4.24,2.24,1.94,2.54,0.67,0.47,8,0,1,0.28
279,"Seriola lalandi_Australia_Pacific, Southwest",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,Australia,"Pacific, Southwest",25,21.8,29.2,53,53,53,28,23.8,31.2,0.67,0.47,100,0,1,0.28
280,"Seriola lalandi_Brazil_Atlantic, Southwest",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,Brazil,"Atlantic, Southwest",247.4,216.5,288.6,524.7,524.7,524.7,277.3,236.1,308.2,0.67,0.47,990,0,1,0.28
281,"Seriola lalandi_South Africa_Atlantic, Southeast",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,South Africa,"Atlantic, Southeast",174.2,152.4,203.2,369.41,369.41,369.41,195.21,166.21,217.01,0.67,0.47,697,0,1,0.28
282,"Seriola lalandi_South Africa_Indian Ocean, Western",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,South Africa,"Indian Ocean, Western",1,0.8,1.2,2.12,2.12,2.12,1.12,0.92,1.32,0.67,0.47,4,0,1,0.28
283,"Seriola lalandi_United Kingdom_Indian Ocean, Western",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,United Kingdom,"Indian Ocean, Western",0.3,0.2,0.3,0.53,0.53,0.53,0.23,0.23,0.33,0.67,0.47,1,0,1,0.23
284,"Seriola lalandi_United Kingdom_Indian Ocean, Eastern",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,United Kingdom,"Indian Ocean, Eastern",1.7,1.5,2.1,3.71,3.71,3.71,2.01,1.61,2.21,0.67,0.47,7,0,1,0.29
285,"Seriola lalandi_United States of America_Pacific, Eastern Central",Yellowtail amberjack,Seriola lalandi,finfish,Miscellaneous pelagic fishes,United States of America,"Pacific, Eastern Central",6.3,5.5,7.3,13.25,13.25,13.25,6.95,5.95,7.75,0.67,0.47,25,0,1,0.28
286,"Seriola rivoliana_Bermuda_Atlantic, Western Central",Longfin yellowtail,Seriola rivoliana,finfish,Miscellaneous pelagic fishes,Bermuda,"Atlantic, Western Central",3,2.5,3.4,6.63,6.63,6.63,3.63,3.23,4.13,0.69,0.49,13,0,1,0.28
287,"Seriola rivoliana_Spain_Atlantic, Eastern Central",Longfin yellowtail,Seriola rivoliana,finfish,Miscellaneous pelagic fishes,Spain,"Atlantic, Eastern Central",4.5,4,5.3,10.2,10.2,10.2,5.7,4.9,6.2,0.69,0.49,20,0,1,0.29
288,"Seriola rivoliana_United States of America_Atlantic, Western Central",Longfin yellowtail,Seriola rivoliana,finfish,Miscellaneous pelagic fishes,United States of America,"Atlantic, Western Central",16.7,14.6,19.5,37.74,37.74,37.74,21.04,18.24,23.14,0.69,0.49,74,0,1,0.28
289,"Seriola rivoliana_Venezuela, Boliv Rep of_Atlantic, Western Central",Longfin yellowtail,Seriola rivoliana,finfish,Miscellaneous pelagic fishes,"Venezuela, Boliv Rep of","Atlantic, Western Central",73.6,64.4,85.9,166.26,166.26,166.26,92.66,80.36,101.86,0.69,0.49,326,0,1,0.28
290,Siganus rivulatus_Cyprus_Mediterranean and Black Sea,Marbled spinefoot,Siganus rivulatus,finfish,Miscellaneous coastal fishes,Cyprus,Mediterranean and Black Sea,2.1,1.8,2.5,6.97,6.97,6.97,4.87,4.47,5.17,0.79,0.59,17,0.02,1,0.29
291,"Solea senegalensis_France_Atlantic, Northeast",Senegalese sole,Solea senegalensis,finfish,"Flounders, halibuts, soles",France,"Atlantic, Northeast",217.1,190.1,253.3,220.78,197.18,252.28,3.68,-1.02,7.08,0.38,0.18,39,260,1,0.09
292,Solea solea_Albania_Mediterranean and Black Sea,Common sole,Solea solea,finfish,"Flounders, halibuts, soles",Albania,Mediterranean and Black Sea,40,35.1,46.7,51,51,51,11,4.3,15.9,0.45,0.25,68,0,1,0.16
293,Solea solea_Algeria_Mediterranean and Black Sea,Common sole,Solea solea,finfish,"Flounders, halibuts, soles",Algeria,Mediterranean and Black Sea,109.1,95.4,127.2,138.75,138.75,138.75,29.65,11.55,43.35,0.45,0.25,185,0,1,0.16
294,"Solea solea_Belgium_Atlantic, Northeast",Common sole,Solea solea,finfish,"Flounders, halibuts, soles",Belgium,"Atlantic, Northeast",1514.5,1325.2,1766.9,1927.5,1927.5,1927.5,413,160.6,602.3,0.45,0.25,2570,0,1,0.16
295,"Solea solea_Channel Islands_Atlantic, Northeast",Common sole,Solea solea,finfish,"Flounders, halibuts, soles",Channel Islands,"Atlantic, Northeast",1.8,1.6,2.1,2.25,2.25,2.25,0.45,0.15,0.65,0.45,0.25,3,0,1,0.15
296,Solea solea_Croatia_Mediterranean and Black Sea,Common sole,Solea solea,finfish,"Flounders, halibuts, soles",Croatia,Mediterranean and Black Sea,110.8,96.9,129.2,141,141,141,30.2,11.8,44.1,0.45,0.25,188,0,1,0.16
297,"Solea solea_Denmark_Atlantic, Northeast",Common sole,Solea solea,finfish,"Flounders, halibuts, soles",Denmark,"Atlantic, Northeast",382.4,334.6,446.2,486.75,486.75,486.75,104.35,40.55,152.15,0.45,0.25,649,0,1,0.16
298,Solea solea_Egypt_Mediterranean and Black Sea,Common sole,Solea solea,finfish,"Flounders, halibuts, soles",Egypt,Mediterranean and Black Sea,386,337.7,450.3,491.25,491.25,491.25,105.25,40.95,153.55,0.45,0.25,655,0,1,0.16
