ID,Sci_Name,Common,ISSCAAP,Sp.grp,Year,Country_name,Fishing_Area,Fishing_name,CAPSUM_tonnes,AQSUM_tonnes,TOTAL_tonnes,Binary,Early_M,Late_M
"Anguilla anguilla_Sweden_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Sweden,27,"Atlantic, Northeast",181,0,181,CBA,0.41,0.21
Anguilla anguilla_Tunisia_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,Tunisia,37,Mediterranean and Black Sea,248,0,248,CBA,0.41,0.21
"Anguilla anguilla_United Kingdom_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,United Kingdom,27,"Atlantic, Northeast",2,0,2,CBA,0.41,0.21
Atherina boyeri_Bulgaria_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Bulgaria,37,Mediterranean and Black Sea,50,0,50,CBA,0.85,0.65
Atherina boyeri_Croatia_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Croatia,37,Mediterranean and Black Sea,6,0,6,CBA,0.85,0.65
Atherina boyeri_Russian Federation_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Russian Federation,37,Mediterranean and Black Sea,127,0,127,CBA,0.85,0.65
Atherina boyeri_Ukraine_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Ukraine,37,Mediterranean and Black Sea,220,0,220,CBA,0.85,0.65
"Bolbometopon muricatum_Saudi Arabia_Indian Ocean, Western",Bolbometopon muricatum,Green humphead parrotfish,Miscellaneous coastal fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",167,0,167,CBA,0.33,0.13
"Carangoides malabaricus_Qatar_Indian Ocean, Western",Carangoides malabaricus,Malabar trevally,Miscellaneous pelagic fishes,finfish,2016,Qatar,51,"Indian Ocean, Western",201,0,201,CBA,0.98,0.78
"Carangoides malabaricus_Saudi Arabia_Indian Ocean, Western",Carangoides malabaricus,Malabar trevally,Miscellaneous pelagic fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",98,0,98,CBA,0.98,0.78
"Caranx hippos_Angola_Atlantic, Southeast",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Angola,47,"Atlantic, Southeast",548,0,548,CBA,0.86,0.66
"Caranx hippos_Cameroon_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Cameroon,34,"Atlantic, Eastern Central",69,0,69,CBA,0.86,0.66
"Caranx hippos_Congo, Dem. Rep. of the_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,"Congo, Dem. Rep. of the",34,"Atlantic, Eastern Central",347,0,347,CBA,0.86,0.66
"Caranx hippos_Ghana_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Ghana,34,"Atlantic, Eastern Central",15275,0,15275,CBA,0.86,0.66
"Caranx hippos_Russian Federation_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Russian Federation,34,"Atlantic, Eastern Central",113,0,113,CBA,0.86,0.66
"Caranx hippos_Sao Tome and Principe_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Sao Tome and Principe,34,"Atlantic, Eastern Central",7,0,7,CBA,0.86,0.66
"Caranx hippos_Senegal_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Senegal,34,"Atlantic, Eastern Central",441,0,441,CBA,0.86,0.66
"Caranx hippos_Togo_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Togo,34,"Atlantic, Eastern Central",1203,0,1203,CBA,0.86,0.66
"Caranx hippos_United States of America_Atlantic, Northwest",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,United States of America,21,"Atlantic, Northwest",3,0,3,CBA,0.86,0.66
"Caranx hippos_United States of America_Atlantic, Western Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,United States of America,31,"Atlantic, Western Central",314,0,314,CBA,0.86,0.66
"Caranx hippos_Venezuela, Boliv Rep of_Atlantic, Western Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,"Venezuela, Boliv Rep of",31,"Atlantic, Western Central",2433,0,2433,CBA,0.86,0.66
"Caranx ignobilis_Iran (Islamic Rep. of)_Indian Ocean, Western",Caranx ignobilis,Giant trevally,Miscellaneous pelagic fishes,finfish,2016,Iran (Islamic Rep. of),51,"Indian Ocean, Western",20142,0,20142,CBA,0.58,0.38
"Caranx ignobilis_Qatar_Indian Ocean, Western",Caranx ignobilis,Giant trevally,Miscellaneous pelagic fishes,finfish,2016,Qatar,51,"Indian Ocean, Western",387,0,387,CBA,0.58,0.38
"Caranx ignobilis_Saudi Arabia_Indian Ocean, Western",Caranx ignobilis,Giant trevally,Miscellaneous pelagic fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",69,0,69,CBA,0.58,0.38
"Caranx sexfasciatus_Saudi Arabia_Indian Ocean, Western",Caranx sexfasciatus,Bigeye trevally,Miscellaneous pelagic fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",143,0,143,CBA,0.76,0.56
"Centropomus undecimalis_Mexico_Atlantic, Western Central",Centropomus undecimalis,Common snook,Miscellaneous coastal fishes,finfish,2016,Mexico,31,"Atlantic, Western Central",290,0,290,CBA,0.66,0.46
"Centropomus undecimalis_Venezuela, Boliv Rep of_Atlantic, Western Central",Centropomus undecimalis,Common snook,Miscellaneous coastal fishes,finfish,2016,"Venezuela, Boliv Rep of",31,"Atlantic, Western Central",2745,0,2745,CBA,0.66,0.46
"Cromileptes altivelis_Indonesia_Indian Ocean, Eastern",Cromileptes altivelis,Humpback grouper,Miscellaneous coastal fishes,finfish,2016,Indonesia,57,"Indian Ocean, Eastern",3946,0,3946,CBA,0.5,0.3
"Cromileptes altivelis_Indonesia_Pacific, Western Central",Cromileptes altivelis,Humpback grouper,Miscellaneous coastal fishes,finfish,2016,Indonesia,71,"Pacific, Western Central",9017,0,9017,CBA,0.5,0.3
Dentex dentex_Albania_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Albania,37,Mediterranean and Black Sea,18,0,18,CBA,0.41,0.21
Dentex dentex_Algeria_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Algeria,37,Mediterranean and Black Sea,9,0,9,CBA,0.41,0.21
Dentex dentex_Croatia_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Croatia,37,Mediterranean and Black Sea,20,1.106,21.106,CBA,0.41,0.21
Dentex dentex_Cyprus_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Cyprus,37,Mediterranean and Black Sea,2,0,2,CBA,0.41,0.21
Dentex dentex_France_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,France,37,Mediterranean and Black Sea,11,0,11,CBA,0.41,0.21
"Dentex dentex_Greece_Atlantic, Eastern Central",Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Greece,34,"Atlantic, Eastern Central",8,0,8,CBA,0.41,0.21
Dentex dentex_Greece_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Greece,37,Mediterranean and Black Sea,257,0,257,CBA,0.41,0.21
"Dentex dentex_Italy_Atlantic, Eastern Central",Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Italy,34,"Atlantic, Eastern Central",2,0,2,CBA,0.41,0.21
Dentex dentex_Italy_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Italy,37,Mediterranean and Black Sea,176,0,176,CBA,0.41,0.21
Dentex dentex_Libya_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Libya,37,Mediterranean and Black Sea,325,0,325,CBA,0.41,0.21
Dentex dentex_Malta_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Malta,37,Mediterranean and Black Sea,6,0,6,CBA,0.41,0.21
