stock_id,sci_name,sp_name,Major_Group,ISSCAAP_Group,fishing_region,bbmsy_q2.5,bbmsy_q25,bbmsy_q50,bbmsy_q75,bbmsy_q97.5,bbmsy_sd,bbmsy_mean,startbio,Bmsy,B_q50,B_q25,B_q75,year,r,k,msy,Fmsy,F_q50,ffmsy_q50,F_q25,ffmsy_q75,F_q75,ffmsy_q25,catch_2016,Dom_level,M_dsrt_early,AQ_tonnes_2016
Caranx_ignobilis-Indian Ocean_Western,Caranx ignobilis,Giant trevally,PISCES,Miscellaneous pelagic fishes,Indian Ocean Western,0.61,0.71,0.85,1.01,1.3,0.19,0.88,61870.36,48829.16,41329.3,34808.42,49367.69,2016,0.5,97658.31,11949.02,0.25,0.5,1.99,0.59,2.36,0.42,1.66,20598,CBA,0.58,0
Centropomus_undecimalis-Atlantic_Western Central,Centropomus undecimalis,Common snook,PISCES,Miscellaneous coastal fishes,Atlantic Western Central,0.04,0.29,0.5,0.67,0.79,0.23,0.47,32015.24,24458.46,12339.3,6973.34,16420.22,2016,0.35,48916.91,4162.88,0.18,0.25,1.39,0.44,2.45,0.18,1.04,3035,CBA,0.66,0
Cerastoderma_edule-Atlantic_Northeast,Cerastoderma edule,Common edible cockle,MOLLUSCA,"Clams, cockles, arkshells",Atlantic Northeast,0.04,0.27,0.49,0.66,0.79,0.23,0.46,935593.2,709381.75,350369.7,190158.88,467040.79,2016,0.31,1418763.5,109550.1,0.16,0.08,0.53,0.15,0.98,0.06,0.4,29298,Domestic,0.81,2559.2
Chamelea_gallina-Atlantic_Northeast,Chamelea gallina,Striped venus,MOLLUSCA,"Clams, cockles, arkshells",Atlantic Northeast,0.07,0.36,0.53,0.68,0.79,0.21,0.5,66937.85,44833.64,23891.8,16205.99,30463.97,2016,0.25,89667.28,5500.07,0.12,0.15,1.26,0.23,1.85,0.12,0.98,3685,CBA,0.68,0
Chamelea_gallina-Mediterranean and Black Sea,Chamelea gallina,Striped venus,MOLLUSCA,"Clams, cockles, arkshells",Mediterranean and Black Sea,0.05,0.28,0.48,0.65,0.78,0.22,0.46,291755.7,229834.83,110444.5,64194.32,149598.16,2016,0.41,459669.67,43714.12,0.2,0.34,1.67,0.58,2.86,0.25,1.23,37345,CBA,0.68,0
Chanos_chanos-Pacific_Eastern Central,Chanos chanos,Milkfish,PISCES,Miscellaneous diadromous fishes,Pacific Eastern Central,0.6,0.64,0.69,0.78,1.02,0.11,0.73,42024.22,31874.34,22110,20441.85,24839.59,2016,0.18,63748.67,2803.41,0.09,0.29,3.2,0.31,3.46,0.25,2.85,6312,Domestic,0.77,0
Concholepas_concholepas-Pacific_Southeast,Concholepas concholepas,False abalone,MOLLUSCA,"Abalones, winkles, conchs",Pacific Southeast,0.05,0.32,0.52,0.67,0.79,0.22,0.49,88452.47,67369.46,34712.2,21304.03,44990,2016,0.3,134738.92,10055.9,0.15,0.15,1,0.25,1.63,0.12,0.77,5235,Domestic,0.38,0
Crassostrea_gigas-Pacific_Eastern Central,Crassostrea gigas,Pacific cupped oyster,MOLLUSCA,Oysters,Pacific Eastern Central,0.08,0.37,0.61,0.72,0.8,0.22,0.54,26733.03,19019.66,11620.4,7069.54,13652.15,2016,0.28,38039.32,2650.85,0.14,0.1,0.75,0.17,1.23,0.09,0.63,1212,Domestic,0.93,0
Crassostrea_gigas-Pacific_Northeast,Crassostrea gigas,Pacific cupped oyster,MOLLUSCA,Oysters,Pacific Northeast,0.61,0.74,0.91,1.12,1.36,0.22,0.94,25148.43,20156.54,18411.6,14955.79,22514.51,2016,0.57,40313.08,5512.17,0.29,0.34,1.17,0.41,1.44,0.27,0.96,6181,Domestic,0.93,0
Crassostrea_gigas-Pacific_Northwest,Crassostrea gigas,Pacific cupped oyster,MOLLUSCA,Oysters,Pacific Northwest,0.05,0.26,0.47,0.65,0.79,0.22,0.45,120410.64,96614.73,45381.7,24814.21,62815.88,2016,0.39,193229.46,18210.71,0.2,0.33,1.69,0.61,3.08,0.24,1.22,15061,Domestic,0.93,0
