stock_id,sci_name,sp_name,Major_Group,ISSCAAP_Group,fishing_region,bbmsy_q2.5,bbmsy_q25,bbmsy_q50,bbmsy_q75,bbmsy_q97.5,bbmsy_sd,bbmsy_mean,startbio,Bmsy,B_q50,B_q25,B_q75,year,r,k,msy,Fmsy,F_q50,ffmsy_q50,F_q25,ffmsy_q75,F_q75,ffmsy_q25,catch_2016,Dom_level,M_dsrt_early,AQ_tonnes_2016
Pagellus_erythrinus-Mediterranean and Black Sea,Pagellus erythrinus,Common pandora,PISCES,Miscellaneous coastal fishes,Mediterranean and Black Sea,0.61,0.73,0.87,1.05,1.34,0.2,0.9,50410.24,39230.25,34235.3,28807.69,41090.77,2016,0.47,78460.49,8747.13,0.23,0.36,1.54,0.43,1.83,0.3,1.28,12254,CBA,0.50,0.04
Pagrus_auratus-Indian Ocean_Eastern,Pagrus auratus,Silver seabream,PISCES,Miscellaneous coastal fishes,Indian Ocean Eastern,0.04,0.27,0.48,0.65,0.79,0.23,0.45,14073.94,19921.27,9503.7,5305.23,13020.31,2016,0.23,39842.53,2012.3,0.12,0.09,0.76,0.16,1.36,0.06,0.55,842,Domestic,0.38,0
Pagrus_auratus-Pacific_Northwest,Pagrus auratus,Silver seabream,PISCES,Miscellaneous coastal fishes,Pacific Northwest,0.06,0.31,0.52,0.68,0.79,0.22,0.48,323581.59,319848.83,165377.3,98726.18,216879.07,2016,0.14,639697.65,20289.25,0.07,0.09,1.35,0.15,2.27,0.07,1.03,15137,Domestic,0.38,66965
Pagrus_auratus-Pacific_Southwest,Pagrus auratus,Silver seabream,PISCES,Miscellaneous coastal fishes,Pacific Southwest,0.05,0.29,0.5,0.67,0.79,0.23,0.47,135473.53,146075.52,73656,42141.54,98135.82,2016,0.14,292151.05,9651.62,0.07,0.09,1.23,0.15,2.15,0.07,0.92,6471,Domestic,0.38,0
Pagrus_pagrus-Atlantic_Southwest,Pagrus pagrus,Red porgy,PISCES,Miscellaneous coastal fishes,Atlantic Southwest,0.07,0.41,0.61,0.72,0.79,0.21,0.55,45953.4,35560.95,21644.2,14595,25598.7,2016,0.31,71121.9,5397.6,0.15,0.23,1.52,0.35,2.26,0.2,1.29,5053,Domestic,0.48,0
Pagrus_pagrus-Mediterranean and Black Sea,Pagrus pagrus,Red porgy,PISCES,Miscellaneous coastal fishes,Mediterranean and Black Sea,0.04,0.24,0.44,0.62,0.78,0.22,0.43,21115.38,16611.84,7280.9,3983.77,10365.83,2016,0.42,33223.68,3290.07,0.21,0.39,1.84,0.71,3.37,0.27,1.29,2809,Domestic,0.48,3255.6
Panopea_generosa-Pacific_Northeast,Panopea generosa,Pacific geoduck,MOLLUSCA,"Clams, cockles, arkshells",Pacific Northeast,0.63,0.91,1.17,1.31,1.39,0.24,1.1,24898.25,21756.25,25486.3,19850.13,28576.55,2016,0.65,43512.5,6464.08,0.33,0.23,0.7,0.29,0.9,0.2,0.62,5818,Domestic,0.27,973
Panulirus_argus-Atlantic_Southwest,Panulirus argus,Caribbean spiny lobster,CRUSTACEA,"Lobsters, spiny-rock lobsters",Atlantic Southwest,0.68,1.1,1.27,1.35,1.4,0.19,1.2,44730.94,36784.26,46607.6,40622.6,49508.29,2016,0.46,73568.51,7850.62,0.23,0.13,0.57,0.15,0.65,0.12,0.54,6100,CBA,0.89,0
Panulirus_argus-Atlantic_Western Central,Panulirus argus,Caribbean spiny lobster,CRUSTACEA,"Lobsters, spiny-rock lobsters",Atlantic Western Central,0.69,1.11,1.25,1.34,1.39,0.19,1.19,139798.38,117293.99,147111.8,130110.42,156763.88,2016,0.66,234587.99,33518.34,0.33,0.23,0.69,0.25,0.77,0.21,0.64,33136,CBA,0.89,8.5
Paralichthys_olivaceus-Pacific_Northwest,Paralichthys olivaceus,Bastard halibut,PISCES,"Flounders, halibuts, soles",Pacific Northwest,0.96,1.23,1.32,1.37,1.4,0.12,1.28,36182.03,43483.77,57183.7,53386.79,59364.63,2016,0.71,86967.53,13515.63,0.35,0.19,0.53,0.2,0.56,0.18,0.51,10665,Domestic,0.54,43929
Patinopecten_yessoensis-Pacific_Northwest,Patinopecten yessoensis,Yesso scallop,MOLLUSCA,"Scallops, pectens",Pacific Northwest,0.62,0.79,0.97,1.15,1.37,0.22,0.97,2253490.71,1759000.19,1701226.8,1383246.42,2027493.93,2016,0.32,3518000.37,274623.65,0.16,0.13,0.83,0.16,1.02,0.11,0.69,224435,Domestic,0.94,0
Pecten_maximus-Atlantic_Northeast,Pecten maximus,Great Atlantic scallop,MOLLUSCA,"Scallops, pectens",Atlantic Northeast,0.61,0.74,0.9,1.09,1.35,0.22,0.92,287642.39,226909.67,203788.2,167918.77,246606.93,2016,0.48,453819.35,50458.47,0.24,0.29,1.23,0.36,1.5,0.24,1.02,59922,CBA,0.85,48.9
Penaeus_chinensis-Pacific_Northwest,Penaeus chinensis,Fleshy prawn,CRUSTACEA,"Shrimps, prawns",Pacific Northwest,0.61,0.75,0.91,1.1,1.35,0.22,0.93,540845.06,426365.62,389257.7,318230.71,469980.63,2016,0.62,852731.25,122224.23,0.31,0.44,1.44,0.54,1.76,0.37,1.2,172927,Domestic,0.98,39011
Penaeus_japonicus-Pacific_Northwest,Penaeus japonicus,Kuruma prawn,CRUSTACEA,"Shrimps, prawns",Pacific Northwest,0.05,0.3,0.5,0.66,0.79,0.22,0.47,62318.15,46031.81,22860.2,13589.74,30388.22,2016,0.31,92063.62,6864.37,0.15,0.05,0.33,0.09,0.56,0.04,0.25,1158,Domestic,0.84,56766.97
Penaeus_kerathurus-Mediterranean and Black Sea,Penaeus kerathurus,Caramote prawn,CRUSTACEA,"Shrimps, prawns",Mediterranean and Black Sea,0.61,0.75,0.88,1.07,1.32,0.21,0.91,41233.37,32262.44,28419.7,24147.3,34481.83,2016,0.35,64524.88,5448.83,0.17,0.25,1.41,0.29,1.66,0.2,1.16,6962,CBA,0.82,0.2
Penaeus_merguiensis-Indian Ocean_Eastern,Penaeus merguiensis,Banana prawn,CRUSTACEA,"Shrimps, prawns",Indian Ocean Eastern,0.61,0.72,0.86,1.03,1.32,0.2,0.89,178303.45,136241.36,117388.6,97889.63,140766.48,2016,0.41,272482.72,26701.79,0.2,0.23,1.11,0.27,1.34,0.19,0.93,26492,Domestic,0.90,0
Penaeus_merguiensis-Pacific_Western Central,Penaeus merguiensis,Banana prawn,CRUSTACEA,"Shrimps, prawns",Pacific Western Central,0.63,0.86,1.05,1.22,1.38,0.22,1.03,299176.25,239545.49,251924.3,205161.1,292143.13,2016,0.65,479090.98,69370.86,0.33,0.31,0.96,0.38,1.18,0.27,0.83,78747,Domestic,0.90,27150.02
Penaeus_monodon-Indian Ocean_Eastern,Penaeus monodon,Giant tiger prawn,CRUSTACEA,"Shrimps, prawns",Indian Ocean Eastern,0.61,0.69,0.8,0.93,1.24,0.17,0.83,591048.4,453275.41,362704.2,314277.17,419313.13,2016,0.28,906550.82,63741.32,0.14,0.27,1.9,0.31,2.19,0.23,1.64,97790,Domestic,0.85,197600.63
Penaeus_monodon-Indian Ocean_Western,Penaeus monodon,Giant tiger prawn,CRUSTACEA,"Shrimps, prawns",Indian Ocean Western,0.63,0.89,1.11,1.27,1.39,0.23,1.07,826707.85,653283.04,724675.7,580148.9,832185.83,2016,0.38,1306566.07,120341.4,0.19,0.16,0.83,0.2,1.04,0.14,0.73,114254,Domestic,0.85,4484
Penaeus_monodon-Pacific_Western Central,Penaeus monodon,Giant tiger prawn,CRUSTACEA,"Shrimps, prawns",Pacific Western Central,0.63,0.91,1.13,1.28,1.39,0.23,1.09,156640.34,122470.51,138509,111185.2,157116.61,2016,0.52,244941.03,29055.49,0.26,0.18,0.7,0.23,0.87,0.16,0.62,25276,Domestic,0.85,428764.01
Penaeus_setiferus-Atlantic_Western Central,Penaeus setiferus,Northern white shrimp,CRUSTACEA,"Shrimps, prawns",Atlantic Western Central,0.65,1.06,1.28,1.36,1.4,0.22,1.18,98005.57,168435.73,214841.5,179287.34,228302.11,2016,0.72,336871.46,53929.2,0.36,0.25,0.68,0.3,0.82,0.23,0.64,53106,CBA,0.46,0
Penaeus_stylirostris-Pacific_Eastern Central,Penaeus stylirostris,Blue shrimp,CRUSTACEA,"Shrimps, prawns",Pacific Eastern Central,0.61,0.69,0.82,0.99,1.3,0.2,0.86,87253.99,69034.35,56472.3,47642.44,68124.31,2016,0.55,138068.7,18354.31,0.27,0.54,1.99,0.64,2.36,0.45,1.65,30660,CBA,0.91,102.6
Penaeus_vannamei-Pacific_Eastern Central,Penaeus vannamei,Whiteleg shrimp,CRUSTACEA,"Shrimps, prawns",Pacific Eastern Central,0.61,0.66,0.74,0.87,1.16,0.15,0.78,26286.33,20309.51,15085.1,13456.45,17673.06,2016,0.64,40619.03,6302.49,0.32,0.83,2.61,0.93,2.93,0.71,2.23,12542,Domestic,0.91,195085.98
Perna_viridis-Indian Ocean_Eastern,Perna viridis,Green mussel,MOLLUSCA,Mussels,Indian Ocean Eastern,0.03,0.1,0.22,0.38,0.72,0.19,0.26,9780.73,7733.38,1671.9,781.29,2960.77,2016,0.49,15466.77,1886.08,0.25,1.03,4.15,2.19,8.88,0.58,2.34,1714,CBA,0.85,797
Platichthys_flesus-Atlantic_Northeast,Platichthys flesus,European flounder,PISCES,"Flounders, halibuts, soles",Atlantic Northeast,0.63,0.92,1.18,1.31,1.39,0.24,1.11,34083.91,64175.52,75535.9,59215.35,84372.79,2016,0.75,128351.05,21877.11,0.38,0.3,0.81,0.39,1.03,0.27,0.72,22936,CBA,0.42,0
Pleurogrammus_azonus-Pacific_Northwest,Pleurogrammus azonus,Okhotsk atka mackerel,PISCES,Miscellaneous coastal fishes,Pacific Northwest,0.05,0.3,0.49,0.66,0.79,0.22,0.47,785406.7,901962.73,445233.9,273279.82,599433.97,2016,0.43,1803925.46,177937.82,0.22,0.11,0.49,0.17,0.8,0.08,0.37,47400,CBA,0.42,0
Pollachius_pollachius-Atlantic_Northeast,Pollachius pollachius,Pollack,PISCES,"Cods, hakes, haddocks",Atlantic Northeast,0.07,0.32,0.52,0.69,0.79,0.22,0.49,56490.59,71698.38,37314,22689.14,49181.72,2016,0.36,143396.77,12393.83,0.18,0.24,1.34,0.39,2.21,0.18,1.02,8911,CBA,0.53,0
Portunus_pelagicus-Indian Ocean_Eastern,Portunus pelagicus,Blue swimming crab,CRUSTACEA,"Crabs, sea-spiders",Indian Ocean Eastern,0.62,0.72,0.85,1.02,1.31,0.2,0.88,94386.99,74615.63,63303.1,53689.46,75766.82,2016,0.45,149231.26,16042.14,0.22,0.37,1.68,0.44,1.97,0.31,1.4,23673,CBA,0.87,0
Portunus_pelagicus-Indian Ocean_Western,Portunus pelagicus,Blue swimming crab,CRUSTACEA,"Crabs, sea-spiders",Indian Ocean Western,0.61,0.75,0.89,1.08,1.33,0.21,0.92,52352.83,41347.03,36824.7,30883.05,44528.01,2016,0.45,82694.06,8958.52,0.22,0.35,1.55,0.41,1.85,0.29,1.28,12736,CBA,0.87,0
Portunus_pelagicus-Pacific_Northwest,Portunus pelagicus,Blue swimming crab,CRUSTACEA,"Crabs, sea-spiders",Pacific Northwest,0.62,0.81,1.03,1.22,1.38,0.23,1.02,312320.89,259162.49,266623.9,210453.66,316922.63,2016,0.65,518324.98,78633.37,0.33,0.35,1.06,0.44,1.34,0.29,0.89,92219,CBA,0.87,0
Portunus_pelagicus-Pacific_Western Central,Portunus pelagicus,Blue swimming crab,CRUSTACEA,"Crabs, sea-spiders",Pacific Western Central,0.62,0.8,0.95,1.13,1.36,0.21,0.96,525472.87,414652.92,393148,330326.71,469212.1,2016,0.43,829305.84,86470.44,0.22,0.35,1.6,0.41,1.91,0.29,1.34,136894,CBA,0.87,29.17
Portunus_trituberculatus-Pacific_Northwest,Portunus trituberculatus,Gazami crab,CRUSTACEA,"Crabs, sea-spiders",Pacific Northwest,0.6,0.7,0.79,0.93,1.16,0.17,0.82,2772791.69,2146314.17,1696728.5,1494172.13,2001859.16,2016,0.32,4292628.33,338422.21,0.16,0.33,2.07,0.37,2.35,0.28,1.75,557728,CBA,0.93,0
Psetta_maxima-Atlantic_Northeast,Psetta maxima,Turbot,PISCES,"Flounders, halibuts, soles",Atlantic Northeast,1,1.31,1.36,1.38,1.4,0.11,1.32,34674.23,33378.56,45293,43597.49,46141.32,2016,0.52,66757.11,7587.67,0.26,0.13,0.48,0.13,0.5,0.12,0.47,5701,Domestic,0.56,0
Psetta_maxima-Mediterranean and Black Sea,Psetta maxima,Turbot,PISCES,"Flounders, halibuts, soles",Mediterranean and Black Sea,0.06,0.29,0.47,0.67,0.79,0.22,0.47,18216.8,17590.52,8290,5109.01,11822.73,2016,0.28,35181.05,2443.51,0.14,0.08,0.56,0.13,0.91,0.06,0.39,657,Domestic,0.56,0
Pseudocaranx_dentex-Pacific_Southwest,Pseudocaranx dentex,White trevally,PISCES,Miscellaneous pelagic fishes,Pacific Southwest,0.84,1.24,1.33,1.37,1.4,0.14,1.28,25659.4,20862.54,27698.6,25852.5,28598.26,2016,0.48,41725.07,4563.26,0.24,0.13,0.55,0.14,0.59,0.13,0.53,3658,Domestic,0.60,0
Rachycentron_canadum-Indian Ocean_Western,Rachycentron canadum,Cobia,PISCES,Miscellaneous pelagic fishes,Indian Ocean Western,0.61,0.72,0.86,1.04,1.33,0.21,0.89,50429.44,39869.71,34211,28526.64,41621.91,2016,0.3,79739.42,5496.21,0.15,0.29,1.96,0.35,2.35,0.24,1.61,9932,Domestic,0.57,0
Rachycentron_canadum-Pacific_Western Central,Rachycentron canadum,Cobia,PISCES,Miscellaneous pelagic fishes,Pacific Western Central,0.62,0.8,1.02,1.22,1.38,0.24,1.01,22034.03,18756.87,19067,15006.21,22868.78,2016,0.33,37513.74,2816.51,0.17,0.16,0.93,0.2,1.19,0.13,0.78,2948,Domestic,0.57,1561.03
Ruditapes_decussatus-Atlantic_Northeast,Ruditapes decussatus,Grooved carpet shell,MOLLUSCA,"Clams, cockles, arkshells",Atlantic Northeast,0.04,0.3,0.5,0.67,0.78,0.22,0.47,21672.08,20227.35,10131,6054.07,13549.67,2016,0.3,40454.7,3032.62,0.15,0.04,0.26,0.07,0.43,0.03,0.19,394,Domestic,0.98,2370.64
Ruditapes_philippinarum-Pacific_Northwest,Ruditapes philippinarum,Japanese carpet shell,MOLLUSCA,"Clams, cockles, arkshells",Pacific Northwest,0.05,0.29,0.51,0.67,0.79,0.22,0.47,820137.11,895384.45,457252.4,261181.75,596583.78,2016,0.27,1790768.9,117569.14,0.13,0.05,0.37,0.09,0.64,0.04,0.28,22430,Domestic,0.83,4135370
Saxidomus_giganteus-Pacific_Northeast,Saxidomus giganteus,Butter clam,MOLLUSCA,"Clams, cockles, arkshells",Pacific Northeast,0.06,0.27,0.5,0.68,0.79,0.23,0.47,14136.66,14724.41,7421.8,4042.71,10066.57,2016,0.29,29448.82,2090.49,0.14,0.07,0.49,0.13,0.9,0.05,0.36,524,CBA,0.76,13
Scylla_serrata-Indian Ocean_Eastern,Scylla serrata,Indo-Pacific swamp crab,CRUSTACEA,"Crabs, sea-spiders",Indian Ocean Eastern,0.61,0.7,0.84,1.01,1.3,0.2,0.87,50424.78,41142.25,34601.8,28981.87,41663.64,2016,0.64,82284.51,12429.97,0.32,0.58,1.83,0.7,2.18,0.48,1.52,20155,Domestic,0.88,159.12
Scylla_serrata-Pacific_Western Central,Scylla serrata,Indo-Pacific swamp crab,CRUSTACEA,"Crabs, sea-spiders",Pacific Western Central,0.61,0.7,0.83,0.98,1.28,0.19,0.86,141625.57,109900.59,91470.4,77051.5,108102.83,2016,0.35,219801.18,19057.99,0.18,0.27,1.5,0.31,1.78,0.22,1.27,24225,Domestic,0.88,93034.99
Sepia_officinalis-Atlantic_Northeast,Sepia officinalis,Common cuttlefish,MOLLUSCA,"Squids, cuttlefishes, octopuses",Atlantic Northeast,0.61,0.67,0.76,0.93,1.24,0.18,0.81,60878.38,46757.64,35549,31332.91,43401.48,2016,0.43,93515.28,9815.14,0.21,0.37,1.71,0.41,1.93,0.3,1.4,13003,CBA,0.93,0.05
Sepia_officinalis-Mediterranean and Black Sea,Sepia officinalis,Common cuttlefish,MOLLUSCA,"Squids, cuttlefishes, octopuses",Mediterranean and Black Sea,0.64,0.95,1.15,1.29,1.39,0.22,1.1,50889.89,39677.36,45763.9,37748.07,51138.27,2016,0.59,79354.72,10426.61,0.3,0.21,0.71,0.25,0.86,0.19,0.63,9574,CBA,0.93,0
Solea_solea-Atlantic_Eastern Central,Solea solea,Common sole,PISCES,"Flounders, halibuts, soles",Atlantic Eastern Central,0.05,0.3,0.51,0.67,0.79,0.22,0.48,36917.23,28594.97,14531.3,8522.28,19301.41,2016,0.34,57189.93,4808.22,0.17,0.25,1.46,0.43,2.48,0.19,1.1,3632,CBA,0.45,0
Solea_solea-Atlantic_Northeast,Solea solea,Common sole,PISCES,"Flounders, halibuts, soles",Atlantic Northeast,0.06,0.32,0.53,0.68,0.79,0.22,0.49,166343.04,179545.35,94855.2,57803.32,121988.59,2016,0.38,359090.69,31669.77,0.19,0.23,1.19,0.38,1.96,0.18,0.93,21726,CBA,0.45,4.29
Solea_solea-Mediterranean and Black Sea,Solea solea,Common sole,PISCES,"Flounders, halibuts, soles",Mediterranean and Black Sea,0.69,1.16,1.3,1.36,1.4,0.19,1.23,49076.83,39756.26,51765.4,46159.65,54195,2016,0.4,79512.53,7511.81,0.2,0.11,0.56,0.13,0.63,0.11,0.54,5807,CBA,0.45,6.6
Sparus_aurata-Mediterranean and Black Sea,Sparus aurata,Gilthead seabream,PISCES,Miscellaneous coastal fishes,Mediterranean and Black Sea,0.64,0.92,1.11,1.25,1.38,0.21,1.08,27920.53,22733.25,25291.4,20855.96,28500.74,2016,0.58,45466.5,5981.54,0.29,0.31,1.05,0.37,1.28,0.27,0.93,7729,Domestic,0.54,182208.66
Thenus_orientalis-Pacific_Western Central,Thenus orientalis,Flathead lobster,CRUSTACEA,"Lobsters, spiny-rock lobsters",Pacific Western Central,0.05,0.27,0.5,0.66,0.79,0.23,0.46,8479.63,8661.91,4322.1,2363.6,5756.87,2016,0.41,17323.81,1637.92,0.2,0.17,0.82,0.31,1.5,0.13,0.61,721,CBA,0.54,0
Thunnus_albacares-Atlantic_Eastern Central,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Eastern Central,0.78,1.26,1.34,1.38,1.4,0.16,1.28,574109.12,468191.01,626567.6,588884.25,644104.2,2016,0.56,936382.02,114821.28,0.28,0.15,0.54,0.16,0.57,0.15,0.52,94809,CBA,0.39,0
Thunnus_albacares-Atlantic_Southeast,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Southeast,0.61,0.74,0.91,1.09,1.32,0.21,0.92,22409.34,19998.76,18281.8,14799.94,21771.11,2016,0.73,39997.53,6901.56,0.36,0.93,2.55,1.15,3.15,0.78,2.14,16956,CBA,0.39,0
Thunnus_albacares-Atlantic_Southwest,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Southwest,0.05,0.29,0.5,0.67,0.79,0.22,0.47,19175.98,25415.15,12685.6,7460.83,16937.08,2016,0.46,50830.29,5361.75,0.23,0.31,1.36,0.53,2.31,0.23,1.02,3936,CBA,0.39,0
Thunnus_albacares-Atlantic_Western Central,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Western Central,0.06,0.3,0.51,0.68,0.79,0.22,0.48,152030.78,118849.08,60811.2,35816.94,80628.89,2016,0.34,237698.15,19658.06,0.17,0.27,1.58,0.46,2.69,0.2,1.19,16328,CBA,0.39,0
Thunnus_albacares-Indian Ocean_Eastern,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Indian Ocean Eastern,0.62,0.78,0.96,1.14,1.36,0.22,0.97,537126.05,413533.25,397618,324552.62,472217.82,2016,0.41,827066.49,79971.9,0.21,0.21,1.02,0.26,1.25,0.18,0.86,83893,CBA,0.39,0
Thunnus_albacares-Indian Ocean_Western,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Indian Ocean Western,0.62,0.75,0.93,1.1,1.31,0.21,0.94,2054660.09,1563897.5,1461639.5,1175163.21,1724013.06,2016,0.35,3127795,266416.87,0.17,0.24,1.38,0.3,1.72,0.2,1.17,352694,CBA,0.39,0
Thunnus_albacares-Pacific_Eastern Central,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Pacific Eastern Central,0.7,1.16,1.3,1.36,1.4,0.19,1.23,547254.7,885241.98,1155035,1030181.44,1205379.37,2016,0.6,1770483.95,233830.85,0.3,0.15,0.5,0.17,0.56,0.14,0.48,174490,CBA,0.39,0
Thunnus_albacares-Pacific_Northwest,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Pacific Northwest,0.06,0.33,0.53,0.71,0.79,0.22,0.5,399216.34,271273.36,143926.3,90429.44,191554.98,2016,0.27,542546.72,36635.36,0.14,0.16,1.16,0.25,1.85,0.12,0.87,22728,CBA,0.39,0
Thunnus_albacares-Pacific_Southeast,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Pacific Southeast,0.62,0.84,1.04,1.22,1.38,0.23,1.02,648325.72,506444,528045.3,424073.58,619391.19,2016,0.37,1012888,89568.97,0.18,0.2,1.1,0.25,1.36,0.17,0.93,106101,CBA,0.39,0
Thunnus_albacares-Pacific_Western Central,Thunnus albacares,Yellowfin tuna,PISCES,"Tunas, bonitos, billfishes",Pacific Western Central,0.62,0.79,0.94,1.11,1.36,0.21,0.95,2955239.33,2293945.52,2152728.7,1804623.37,2542996.25,2016,0.39,4587891.05,441796.9,0.2,0.27,1.39,0.33,1.65,0.23,1.17,588090,CBA,0.39,0
Thunnus_maccoyii-Atlantic_Southeast,Thunnus maccoyii,Southern bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Southeast,0.05,0.27,0.48,0.66,0.79,0.23,0.46,55217.47,39706.02,19212.4,10697.82,26105.3,2016,0.13,79412.03,2571.71,0.07,0.13,1.93,0.23,3.46,0.09,1.42,2460,CBA,0.24,0
Thunnus_maccoyii-Indian Ocean_Eastern,Thunnus maccoyii,Southern bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Indian Ocean Eastern,0.05,0.28,0.51,0.67,0.79,0.23,0.47,485494.53,323629.07,163929.7,91070.22,216596.33,2016,0.12,647258.13,19034.09,0.06,0.05,0.74,0.08,1.33,0.03,0.56,7300,CBA,0.24,8895
Thunnus_maccoyii-Indian Ocean_Western,Thunnus maccoyii,Southern bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Indian Ocean Western,0.05,0.28,0.5,0.66,0.79,0.22,0.47,69340.16,51794.67,25663,14582.8,34315.58,2016,0.14,103589.34,3563.64,0.07,0.06,0.82,0.1,1.45,0.04,0.61,1492,CBA,0.24,0
Thunnus_maccoyii-Pacific_Southwest,Thunnus maccoyii,Southern bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Pacific Southwest,0.05,0.28,0.49,0.67,0.79,0.23,0.47,145291.04,99502.29,49009.4,27384.19,66840.72,2016,0.13,199004.57,6178.8,0.06,0.07,1.02,0.12,1.82,0.05,0.74,3165,CBA,0.24,0
Thunnus_orientalis-Pacific_Eastern Central,Thunnus orientalis,Pacific bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Pacific Eastern Central,0.06,0.33,0.54,0.68,0.8,0.21,0.5,82188.39,55825.8,30015.8,18575.79,38150.46,2016,0.25,111651.61,6964.29,0.12,0.11,0.85,0.17,1.37,0.08,0.67,3174,CBA,0.26,8755.81
Thunnus_orientalis-Pacific_Northwest,Thunnus orientalis,Pacific bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Pacific Northwest,0.06,0.33,0.54,0.69,0.79,0.22,0.5,153380.95,106054.65,56971.7,35086.45,73192.77,2016,0.3,212109.29,15762.42,0.15,0.14,0.9,0.22,1.46,0.11,0.7,7754,CBA,0.26,13413
Thunnus_thynnus-Atlantic_Eastern Central,Thunnus thynnus,Atlantic bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Eastern Central,0.06,0.3,0.5,0.68,0.79,0.22,0.48,56513.12,51197.16,25761.5,15349.31,34590.86,2016,0.12,102394.32,3018.92,0.06,0.07,1.18,0.12,1.98,0.05,0.88,1829,CBA,0.14,0
Thunnus_thynnus-Atlantic_Northeast,Thunnus thynnus,Atlantic bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Northeast,0.04,0.3,0.5,0.66,0.79,0.22,0.47,195562.56,172382.84,85722.3,50962.88,113404.86,2016,0.11,344765.68,8940.32,0.05,0.06,1.18,0.1,1.99,0.05,0.9,5337,CBA,0.14,383.62
Thunnus_thynnus-Atlantic_Northwest,Thunnus thynnus,Atlantic bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Northwest,0.05,0.3,0.5,0.67,0.79,0.22,0.47,37153.1,27625.96,13789.9,8151.19,18427.86,2016,0.16,55251.92,2022.44,0.08,0.12,1.53,0.2,2.59,0.09,1.15,1658,CBA,0.14,0
Thunnus_thynnus-Atlantic_Western Central,Thunnus thynnus,Atlantic bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Atlantic Western Central,0.05,0.3,0.49,0.66,0.79,0.22,0.47,31694.74,20465.04,10079.4,6065.13,13571.4,2016,0.13,40930.08,1320.67,0.07,0.01,0.16,0.02,0.26,0.01,0.12,104,CBA,0.14,0
Thunnus_thynnus-Mediterranean and Black Sea,Thunnus thynnus,Atlantic bluefin tuna,PISCES,"Tunas, bonitos, billfishes",Mediterranean and Black Sea,0.04,0.25,0.46,0.64,0.78,0.22,0.44,245793.37,195615.81,89562.2,49821.53,124707.29,2016,0.19,391231.62,17124.48,0.1,0.15,1.52,0.26,2.73,0.11,1.09,13189,CBA,0.14,22456.94
Trachurus_japonicus-Pacific_Northwest,Trachurus japonicus,Japanese jack mackerel,PISCES,Miscellaneous pelagic fishes,Pacific Northwest,0.06,0.4,0.58,0.72,0.8,0.21,0.53,2972098.38,1994566.8,1163237.7,799918.11,1427979.47,2016,0.28,3989133.6,272749.87,0.14,0.17,1.25,0.25,1.82,0.14,1.02,200256,CBA,0.49,740
Turbo_cornutus-Pacific_Northwest,Turbo cornutus,Horned turban,MOLLUSCA,"Abalones, winkles, conchs",Pacific Northwest,0.06,0.28,0.5,0.67,0.79,0.23,0.47,104890.74,80374.92,40158.2,22899.07,53618.43,2016,0.39,160749.85,14660.96,0.2,0.21,1.06,0.37,1.87,0.16,0.8,8415,CBA,0.65,0
Venerupis_pullastra-Atlantic_Northeast,Venerupis pullastra,Pullet carpet shell,MOLLUSCA,"Clams, cockles, arkshells",Atlantic Northeast,0.06,0.34,0.54,0.69,0.79,0.22,0.5,24942.73,16337.84,8745.4,5487.82,11273.41,2016,0.3,32675.68,2403.2,0.15,0.17,1.16,0.27,1.84,0.13,0.9,1504,CBA,0.65,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6983230,,,
